sampleId,lat,long,continent,country,nPools,nFlies,nToUse,Date,SRA_Accession,SOURCE,DataType,TimeRange
US_Was_Tac_1_2014-07-15,47.23713,-122.39627,North_America,USA,1,70,1,2014-07-15,SRR8061818,DrosRTEC,PoolSeq,0
ZA_Eas_Bar_1_2011-12-16,-30.97,27.59,Africa,South Africa,1,5,1,2011-12-16,,dgn,PoolSeq,0
ZA_Lim_Pha_1_2010-07-16,-23.94,31.14,Africa,South Africa,1,30,1,2010-07-16,,dgn,PoolSeq,0
ZA_Mpu_Dul_1_2011-12-16,-25.42,30.1,Africa,South Africa,1,76,1,2011-12-16,,dgn,PoolSeq,0
ZM_Sou_Sia_1_2010-07-16,-16.54,28.72,Africa,Zambia,1,196,1,2010-07-16,,dgn,PoolSeq,0
ZW_Mat_Vic_1_2001-07-16,-17.94,25.83,Africa,Zimbabwe,1,9,1,2001-07-16,,dgn,PoolSeq,0
mel68,27.26,112.68,Asia,China,0,1,1,2017-08-30,SRR23103903,Chen et al. (2024),IndSeq,0
mel94,36.56,101.74,Asia,China,0,1,1,2017-08-13,SRR23103775,Chen et al. (2024),IndSeq,0
mel99,34.27,105.47,Asia,China,0,1,1,2017-08-11,SRR23103770,Chen et al. (2024),IndSeq,0
mel273,29.58,103.74,Asia,China,0,1,1,2020-09-10,SRR23104007,Chen et al. (2024),IndSeq,0
Indian1,9.93,76.26,Asia,India,0,1,1,2015-07 to 2015-10,SRR3946370,Singhal et al. (30),IndSeq,Absent
Indian2,23.02,72.57,Asia,India,0,1,1,2015-07 to 2015-10,SRR3990712,Singhal et al. (30),IndSeq,Absent
t4,3.15,101.7,Asia,Malaysia,0,1,1,1962,SRR457668,King et al. (28),IndSeq,Absent
SAM,39.65,66.97,Asia,Uzbekistan,0,1,1,1936,SRR457695,King et al. (28),IndSeq,Absent
"AT_Kar_See_1_2014-08-17, AT_Kar_See_1_2016-08-01",46.8136889,13.50794792,Europe,Austria,2,80,2,"2014-08-17,2016-08-01","SRR5647746, SRR8494439",DrosEU,PoolSeq,715
"AT_Nie_Mau_1_2014-07-20, AT_Nie_Mau_1_2014-10-19, AT_Nie_Mau_1_2015-07-20, AT_Nie_Mau_1_2015-10-19",48.375,15.56,Europe,Austria,4,160,4,"2014-07-20,2014-10-19,2015-07-20,2015-10-19","SRR5647751, SRR5647750, SRR8439127, SRR8439143",DrosEU,PoolSeq,456
"AT_Wie_Gro_1_2012-08-03, AT_Wie_Gro_1_2012-10-20",48.2,16.37,Europe,Austria,2,106,2,"2012-08-03,2012-10-20","SRR3590553, SRR3590552",DrosRTEC,PoolSeq,78
"AU_Que_Inn_-1_2014-02-15, AU_Que_Inn_0_2014-02-15, AU_Que_Inn_10_2014-02-15, AU_Que_Inn_11_2014-02-15, AU_Que_Inn_12_2014-02-15, AU_Que_Inn_13_2014-02-15, AU_Que_Inn_14_2014-02-15, AU_Que_Inn_15_2014-02-15, AU_Que_Inn_16_2014-02-15, AU_Que_Inn_17_2014-02-15, AU_Que_Inn_18_2014-02-15, AU_Que_Inn_19_2014-02-15, AU_Que_Inn_1_2014-02-15, AU_Que_Inn_1_NA-MM-DD, AU_Que_Inn_20_2014-02-15, AU_Que_Inn_2_2014-02-15, AU_Que_Inn_3_2014-02-15, AU_Que_Inn_4_2014-02-15, AU_Que_Inn_5_2014-02-15, AU_Que_Inn_6_2014-02-15, AU_Que_Inn_7_2014-02-15, AU_Que_Inn_8_2014-02-15, AU_Que_Inn_9_2014-02-15",-17.49613043478261,145.9915652173913,Oceania,Australia,23,2510,23,"2014-02-15,NA-MM-DD","SRR8449034;SRR8448958;SRR8448909;SRR8449051;SRR8449038;SRR8448994;SRR8448966;SRR8449062, SRR8449061;SRR8449058;SRR8449035;SRR8448959;SRR8448910;SRR8449050;SRR8448953;SRR8449039;SRR8448995;SRR8448967, SRR8449061, SRR8449010, SRR8449058, SRR8449034, SRR8449035, SRR8448958, SRR8448959, SRR8448909, SRR8448910, SRR8449051, SRR8448952, SRR2587089, SRR8449050, SRR8448953, SRR8449038, SRR8449039, SRR8448994, SRR8448995, SRR8448966, SRR8448967, SRR8449062",dest_plus,PoolSeq,0
